"Geo_Code","Prov_Name","CSD_Name","total_pop","median_income","female_ratio","0_14y_ratio","15_24y_ratio","25_44y_ratio","45_over_ratio","non_movers_ratio","trade_cert_ratio","non_uni_dip_ratio","uni_dip_ratio","total_postsec_ratio","primary_ind_ratio","year","period"
"1006003","Newfoundland and Labrador","NORRIS ARM"," 1216","11667",0.4568,0.3251,0.2058,0.2716,0.2016,0.8685,0,0.1045,0,0.1045,0.2121,1981,0
"1006008","Newfoundland and Labrador","DIVISION NO. 6, SUBD. E","  232","13356",0.4894,0.3617,0.234,0.2979,0.1277,0.9,0,0.125,0,0.125,0,1981,0
"1006009","Newfoundland and Labrador","GANDER","10404","26643",0.501,0.2743,0.2118,0.3228,0.1921,0.4944,0.0394,0.2908,0.0657,0.396,0.0185,1981,0
"1006011","Newfoundland and Labrador","APPLETON","  420","18073",0.5,0.3333,0.1786,0.2738,0.1905,0.6806,0,0.1522,0,0.1522,0.069,1981,0
"1006012","Newfoundland and Labrador","GLENWOOD"," 1129","18233",0.4912,0.3186,0.208,0.2743,0.1991,0.5529,0.0547,0.125,0,0.1797,0.325,1981,0
"1006014","Newfoundland and Labrador","DIVISION NO. 6, SUBD. C","  628","16376",0.4921,0.2778,0.1905,0.2778,0.2302,0.748,0,0.1429,0.026,0.1688,0.1481,1981,0
"1006015","Newfoundland and Labrador","NORTHERN ARM-EXPLOITS","  298","18958",0.5167,0.3,0.2,0.25,0.2167,0.5714,0.0938,0.1562,0,0.25,0.2105,1981,0
"1006016","Newfoundland and Labrador","GRAND FALLS"," 8765","24598",0.52,0.2557,0.1935,0.2877,0.2626,0.6562,0.0271,0.22,0.1037,0.3508,0.023,1981,0
"1006018","Newfoundland and Labrador","WINDSOR"," 5747","17450",0.4943,0.3072,0.215,0.2628,0.2158,0.7274,0.0257,0.1346,0.0091,0.1694,0.0487,1981,0
"1006019","Newfoundland and Labrador","BISHOP'S FALLS"," 4395","18482",0.496,0.3163,0.2116,0.2708,0.2025,0.6679,0.0321,0.1647,0.0201,0.2169,0.068,1981,0
"1006021","Newfoundland and Labrador","PETERVIEW"," 1119"," 8315",0.4664,0.4305,0.1883,0.2511,0.1256,0.7566,0,0.0606,0,0.0606,0.2791,1981,0
"1006022","Newfoundland and Labrador","BOTWOOD"," 4074","18600",0.5012,0.2826,0.183,0.2666,0.2678,0.6912,0.0223,0.1602,0.0304,0.213,0.0868,1981,0
"1006026","Newfoundland and Labrador","BADGER"," 1090","12999",0.4954,0.3028,0.1972,0.2706,0.2248,0.8279,0.0574,0.1066,0,0.1639,0.2031,1981,0
